,goldDiff - TOP_-56to0,goldDiff - JG_-85to0,goldDiff - SUPP_-21to0,item0 - SUPPR_NoItem,item0 - SUPPB_NoItem,level - TOPB_0to3,level - SUPPR_0to2,level - JGB_0to3,level - MIDB_0to3,level - ADCB_0to2,level - SUPPB_0to2,level - TOPR_0to3,level - JGR_0to3,level - MIDR_0to3,level - ADCR_0to2,minute_0to4,xpDiff - MID_-11to18,wardsPlaced - TOPB
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
1,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
12,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
13,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
16,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
