,goldDiff - TOP,goldDiff - JG,goldDiff - MID,goldDiff - ADC,goldDiff - SUPP,item0 - TOPB,item0 - SUPPR,item0 - MIDB,item0 - ADCB,item0 - SUPPB,item0 - TOPR,item0 - MIDR,item0 - ADCR,item1 - MIDB,level - TOPB,level - SUPPR,level - JGB,level - MIDB,level - ADCB,level - SUPPB,level - TOPR,level - JGR,level - MIDR,level - ADCR,minute,positionX - TOPB,positionX - SUPPR,positionX - JGB,positionX - MIDB,positionX - ADCB,positionX - SUPPB,positionX - TOPR,positionX - JGR,positionX - MIDR,positionX - ADCR,positionY - TOPB,positionY - SUPPR,positionY - JGB,positionY - MIDB,positionY - ADCB,positionY - SUPPB,positionY - TOPR,positionY - JGR,positionY - MIDR,positionY - ADCR,wardsKilled - MIDB,xpDiff - TOP,xpDiff - JG,xpDiff - MID,xpDiff - ADC,xpDiff - SUPP,wardsPlaced - MIDB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,560,14237,560,351,221,311,14486,14486,14277,14147,581,14579,361,293,471,649,14511,14291,14223,14401,False,0,0,0,0,0,False
1,0,0,0,0,0,3340,3340,3340,3340,3340,3340,0,3340,0,1,1,1,1,1,1,1,1,1,1,2,4885,9949,12134,11220,11826,11415,3787,9113,8117,10525,5801,6633,4848,4172,3593,4058,11049,11133,7700,7552,False,0,0,0,0,0,False
2,1363,494,-61,41,102,3340,3364,3340,3340,2055,3340,0,3340,0,9,6,7,8,6,5,8,6,9,6,11,1325,14014,4236,6871,7845,8657,6175,10532,8823,13972,11299,14159,7350,7229,1042,1618,12336,8852,9341,13724,False,1143,855,-584,76,-475,False
3,52,182,1137,235,250,3340,3340,3340,3340,3364,3340,3340,3340,2055,4,3,3,4,3,3,4,3,3,2,5,2919,12165,8160,7235,6131,6588,3389,6492,7417,13206,13064,9918,6629,7636,3426,6122,13913,12753,7859,4139,False,167,389,189,190,9,False
4,3069,1589,1011,702,1119,3340,3364,3340,3363,3364,3340,3340,3340,2055,11,8,10,10,10,9,10,9,10,10,17,4233,6916,5001,3956,4931,2687,5520,7299,13233,8031,9386,11517,9693,4595,7964,6214,13715,11693,7199,11741,False,1163,903,183,412,1203,True
5,3104,1370,981,846,1058,3340,3364,3340,3363,3364,3340,3363,3340,0,11,8,10,11,10,9,10,10,11,10,18,8174,8863,7008,5794,7469,7745,7050,12356,9709,9219,8478,10494,9401,12784,8492,8823,13752,6601,9745,9968,True,1123,364,274,842,1165,False
6,3392,2089,1037,1167,1231,3340,3364,3340,3363,3364,3340,3363,3340,0,12,8,11,11,11,10,10,10,11,10,19,9709,9956,9658,9075,8323,5569,5837,5578,8604,9799,12562,13404,13467,14016,13763,13196,13747,13243,13202,12322,False,1818,1117,626,1276,1443,False
7,3554,2546,1320,1491,1331,3340,3364,3340,3363,3364,3340,3363,3340,2055,12,9,11,11,11,10,11,10,11,10,20,12200,8813,1773,6516,1007,10163,7442,13530,8463,8145,1962,8852,1072,6056,1159,5874,13707,12584,10189,7968,False,1568,1278,716,1338,1285,True
8,3819,2032,1490,1584,1410,3340,3364,3340,3363,3364,3340,3363,3340,2055,13,9,12,12,12,10,11,11,11,11,21,13385,13085,12148,12002,11570,11669,13403,11530,11825,13513,6965,9474,7908,7423,7972,8294,8383,8468,8808,9122,True,2186,1095,467,1608,1512,True
9,4526,3065,1740,1611,2141,3340,3364,3340,3363,3364,3340,3363,3340,2055,13,10,12,12,13,11,11,11,11,12,22,11315,12042,10965,8546,11913,11054,11680,11920,13445,11750,9934,11143,10443,7713,10567,10699,10999,11585,13894,10952,False,2661,1918,627,1410,1856,False
10,4478,2508,2430,2175,2175,3340,3364,3340,3363,3364,3340,3363,3340,2055,13,10,13,13,13,12,12,11,12,12,23,13098,13550,13842,12805,13674,12894,14304,13958,14168,14189,11871,13874,13877,13546,13457,13938,13364,12264,13706,13777,False,2330,2360,1125,2219,1912,True
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,560,14237,560,351,221,311,14486,14486,14277,14147,581,14579,361,293,471,649,14511,14291,14223,14401,False,0,0,0,0,0,False
12,0,0,0,0,0,3340,3340,0,3340,3340,3340,3340,3340,0,1,1,1,1,1,1,1,1,1,1,2,4328,7205,5257,6518,7890,11850,4532,12095,8107,9697,9452,9223,9044,7035,5253,3829,12193,8246,7593,6318,False,0,0,0,0,0,False
13,42,15,-49,-28,46,3340,3340,0,3340,3340,3340,3340,3340,0,1,1,2,1,1,1,1,2,1,1,3,3352,12379,7661,6782,11131,11171,3448,7548,7810,12601,13239,1413,7390,7039,1556,1428,13348,10985,7851,2236,False,121,33,-71,-55,-55,True
14,-25,49,1201,186,285,3340,3340,3340,3340,3364,3340,3340,3340,0,5,3,4,5,4,4,5,4,4,4,6,1727,13615,7821,6955,13043,13088,2156,2412,6371,13490,11938,4316,3605,7316,2597,2466,12691,8410,8673,4043,False,-74,151,284,53,235,True
15,130,-80,7,-136,91,3340,3340,0,3340,3340,3340,3340,3340,0,3,2,2,3,2,2,3,3,3,2,4,3195,11426,2851,6792,10972,11335,4063,6187,7740,12092,12948,3180,8373,8183,1491,1350,13369,12583,8343,2063,False,93,-122,56,-114,-114,False
