,level - TOPB,positionX - TOPB,positionY - TOPB,dead - TOPB,teamDragon% - B,teamHerald% - B,teamNash% - B,championId - TOPB,championCSD - TOPB,championGD - TOPB,championXPD - TOPB,wardsKilled - TOPB,goldDiff - TOP,xpDiff - TOP,item0 - TOPB,item1 - TOPB,item2 - TOPB,item3 - TOPB,level - JGB,positionX - JGB,positionY - JGB,dead - JGB,championId - JGB,championCSD - JGB,championGD - JGB,championXPD - JGB,wardsKilled - JGB,goldDiff - JG,xpDiff - JG,item0 - JGB,item1 - JGB,item2 - JGB,item3 - JGB,level - MIDB,positionX - MIDB,positionY - MIDB,dead - MIDB,championId - MIDB,championCSD - MIDB,championGD - MIDB,championXPD - MIDB,wardsKilled - MIDB,goldDiff - MID,xpDiff - MID,item0 - MIDB,item1 - MIDB,item2 - MIDB,item3 - MIDB,level - ADCB,positionX - ADCB,positionY - ADCB,dead - ADCB,championId - ADCB,championCSD - ADCB,championGD - ADCB,championXPD - ADCB,wardsKilled - ADCB,goldDiff - ADC,xpDiff - ADC,item0 - ADCB,item1 - ADCB,item2 - ADCB,item3 - ADCB,level - SUPPB,positionX - SUPPB,positionY - SUPPB,dead - SUPPB,championId - SUPPB,championCSD - SUPPB,championGD - SUPPB,championXPD - SUPPB,wardsKilled - SUPPB,goldDiff - SUPP,xpDiff - SUPP,item0 - SUPPB,item1 - SUPPB,item2 - SUPPB,item3 - SUPPB,level - TOPR,positionX - TOPR,positionY - TOPR,dead - TOPR,championId - TOPR,championCSD - TOPR,championGD - TOPR,championXPD - TOPR,wardsKilled - TOPR,item0 - TOPR,item1 - TOPR,item2 - TOPR,item3 - TOPR,level - JGR,positionX - JGR,positionY - JGR,dead - JGR,championId - JGR,championCSD - JGR,championGD - JGR,championXPD - JGR,wardsKilled - JGR,item0 - JGR,item1 - JGR,item2 - JGR,item3 - JGR,level - MIDR,positionX - MIDR,positionY - MIDR,dead - MIDR,championId - MIDR,championCSD - MIDR,championGD - MIDR,championXPD - MIDR,wardsKilled - MIDR,item0 - MIDR,item1 - MIDR,item2 - MIDR,item3 - MIDR,level - ADCR,positionX - ADCR,positionY - ADCR,dead - ADCR,championId - ADCR,championCSD - ADCR,championGD - ADCR,championXPD - ADCR,wardsKilled - ADCR,item0 - ADCR,item1 - ADCR,item2 - ADCR,item3 - ADCR,level - SUPPR,positionX - SUPPR,positionY - SUPPR,dead - SUPPR,teamDragon% - R,teamHerald% - R,teamNash% - R,championId - SUPPR,championCSD - SUPPR,championGD - SUPPR,championXPD - SUPPR,wardsKilled - SUPPR,item0 - SUPPR,item1 - SUPPR,item2 - SUPPR,item3 - SUPPR,minute,dragon,rift,baron
0,1,554,581,False,58,55,73,150,5,164,153,False,0,0,0,0,0,0,1,557,345,False,876,7,246,294,False,0,0,0,0,0,0,1,335,269,False,236,10,372,45,False,0,0,0,0,0,0,1,194,457,False,110,7,299,132,False,0,0,0,0,0,0,1,329,650,False,201,1,-60,-2,False,0,0,0,0,0,0,1,14180,14271,False,62,-8,-196,-138,False,0,0,0,0,1,14176,14506,False,77,0,0,0,False,0,0,0,0,1,14398,14582,False,4,-4,450,34,False,0,0,0,0,1,14539,14394,False,145,-1,-203,34,False,0,0,0,0,1,14404,14201,False,60,55,70,12,0,-6,19,False,0,0,0,0,1,False,False,False
1,1,1430,3985,False,58,55,73,150,5,164,153,False,0,0,3340,0,0,0,1,10791,4720,False,876,7,246,294,False,0,0,3340,0,0,0,1,1717,1294,False,236,10,372,45,False,0,0,0,0,0,0,1,11153,4490,False,110,7,299,132,False,0,0,3340,0,0,0,1,11100,5154,False,201,1,-60,-2,False,0,0,3340,0,0,0,1,4642,7740,False,62,-8,-196,-138,False,3340,0,0,0,1,4785,7592,False,77,0,0,0,False,3340,0,0,0,1,8315,6960,False,4,-4,450,34,False,3340,0,0,0,1,12162,6446,False,145,-1,-203,34,False,3340,0,0,0,1,12696,5231,False,60,55,70,12,0,-6,19,False,3340,0,0,0,2,False,False,False
2,1,1309,11474,False,58,55,73,150,5,164,153,False,28,-91,3340,0,0,0,2,11643,8100,False,876,7,246,294,False,-25,-25,3340,0,0,0,1,7835,7475,False,236,10,372,45,False,19,59,0,0,0,0,1,13133,2448,False,110,7,299,132,False,0,18,3340,0,0,0,1,13524,2733,False,201,1,-60,-2,False,21,18,3340,0,0,0,1,1927,12103,False,62,-8,-196,-138,False,3340,0,0,0,2,2647,8181,False,77,0,0,0,False,3340,0,0,0,1,7888,8488,False,4,-4,450,34,False,3340,0,0,0,1,12962,3379,False,145,-1,-203,34,False,3340,0,0,0,1,13360,3349,False,60,55,70,12,0,-6,19,False,3340,0,0,0,3,False,False,False
3,3,1693,11990,False,58,55,73,150,5,164,153,False,42,30,3340,0,0,0,3,12031,5164,False,876,7,246,294,False,-100,-158,3340,0,0,0,3,9252,6401,False,236,10,372,45,False,-47,0,0,0,0,0,2,13485,3847,False,110,7,299,132,False,144,183,3340,0,0,0,2,13272,4126,False,201,1,-60,-2,False,81,123,3340,0,0,0,3,2434,12096,False,62,-8,-196,-138,False,3340,0,0,0,3,7013,12485,False,77,0,0,0,False,3340,0,0,0,3,8049,8056,False,4,-4,450,34,False,3340,0,0,0,2,13651,4868,False,145,-1,-203,34,False,3340,0,0,0,2,14102,4534,False,60,55,70,12,0,-6,19,False,3340,0,0,0,4,False,False,False
4,4,2142,11749,True,58,55,73,150,5,164,153,False,-323,59,3340,2055,0,0,3,7942,1831,False,876,7,246,294,False,-349,-344,3340,0,0,0,4,7538,7507,False,236,10,372,45,False,-52,30,0,0,0,0,3,13037,2133,False,110,7,299,132,False,335,-67,3340,0,0,0,3,742,566,False,201,1,-60,-2,False,82,-6,3340,0,0,0,4,12765,14262,False,62,-8,-196,-138,False,3340,2055,0,0,4,3723,9559,False,77,0,0,0,False,3340,0,0,0,4,13951,14208,False,4,-4,450,34,False,3340,0,0,0,3,13036,3228,False,145,-1,-203,34,False,3340,0,0,0,3,13209,11591,True,60,55,70,12,0,-6,19,False,3340,2055,0,0,5,True,False,False
5,5,2797,13121,False,58,55,73,150,5,164,153,False,-442,0,3340,0,0,0,4,1963,908,False,876,7,246,294,False,-241,-192,3340,2055,0,0,5,9016,6372,False,236,10,372,45,False,-115,1,0,0,0,0,4,10992,1610,False,110,7,299,132,False,342,-261,3340,0,0,0,3,10931,1915,False,201,1,-60,-2,False,166,69,3340,2055,0,0,5,3407,13689,False,62,-8,-196,-138,False,3340,2055,0,0,5,10202,8315,False,77,0,0,0,False,2055,3364,0,0,5,7762,7910,False,4,-4,450,34,False,3340,0,0,0,4,12950,3484,False,145,-1,-203,34,False,3340,0,0,0,3,11596,4124,False,60,55,70,12,0,-6,19,False,3340,2055,0,0,6,True,False,False
6,5,1268,11444,False,58,55,73,150,5,164,153,False,-550,-214,3340,0,0,0,5,2263,9809,False,876,7,246,294,False,-351,-438,3340,2055,0,0,6,7550,7356,False,236,10,372,45,False,-105,90,0,0,0,0,5,12013,2259,False,110,7,299,132,False,625,197,3340,0,0,0,4,12383,2041,False,201,1,-60,-2,True,263,295,3340,0,0,0,6,2641,11492,False,62,-8,-196,-138,False,3340,0,0,0,5,4358,9166,False,77,0,0,0,True,3364,0,0,0,6,7992,8061,False,4,-4,450,34,False,3340,0,0,0,4,13043,3070,False,145,-1,-203,34,False,3340,0,0,0,3,13307,2594,False,60,55,70,12,0,-6,19,True,3340,0,0,0,7,True,False,False
7,6,634,2094,False,58,55,73,150,5,164,153,False,-360,172,3340,2055,0,0,5,6666,4685,False,876,7,246,294,False,-218,-285,3340,2055,0,0,6,6346,6644,False,236,10,372,45,False,-218,16,0,0,0,0,5,394,461,False,110,7,299,132,False,496,148,3340,0,0,0,4,9673,3476,False,201,1,-60,-2,False,134,125,3340,0,0,0,6,3867,13536,False,62,-8,-196,-138,True,3340,0,0,0,6,12387,6601,False,77,0,0,0,False,3364,0,0,0,6,7352,7593,False,4,-4,450,34,False,3340,0,0,0,5,13086,3748,False,145,-1,-203,34,False,3340,0,0,0,4,13163,4672,False,60,55,70,12,0,-6,19,False,3340,0,0,0,8,True,True,False
8,7,11079,1507,False,58,55,73,150,5,164,153,False,-443,20,3340,0,0,0,6,1415,7608,False,876,7,246,294,True,-296,-492,3340,2055,0,0,7,5487,7497,False,236,10,372,45,False,-165,259,0,0,0,0,5,835,8691,False,110,7,299,132,False,210,-605,3340,0,0,0,4,1114,8223,False,201,1,-60,-2,False,134,125,2055,3364,0,0,7,955,8299,False,62,-8,-196,-138,False,3340,0,0,0,6,1572,8935,False,77,0,0,0,False,3364,0,0,0,7,1841,9474,False,4,-4,450,34,False,3340,2055,0,0,6,12261,2733,False,145,-1,-203,34,False,3340,0,0,0,4,1766,9341,False,60,55,70,12,0,-6,19,False,3340,0,0,0,9,True,True,False
9,8,10523,2639,False,58,55,73,150,5,164,153,False,-1013,633,3340,0,0,0,6,3919,10086,False,876,7,246,294,False,-658,-1267,3340,0,0,0,8,6902,7450,False,236,10,372,45,False,132,557,0,0,0,0,6,2275,11908,True,110,7,299,132,True,354,-435,3340,0,0,0,5,2740,11963,False,201,1,-60,-2,False,92,-55,2055,3364,0,0,7,9668,13237,False,62,-8,-196,-138,False,3340,0,0,0,7,10315,7891,False,77,0,0,0,True,3364,0,0,0,7,7639,7821,False,4,-4,450,34,False,3340,2055,0,0,6,13585,4769,False,145,-1,-203,34,False,3340,2055,0,0,5,10566,13409,False,60,55,70,12,0,-6,19,False,2055,3364,0,0,10,True,True,False
