web-scraper-order,web-scraper-start-url,Blue Side,Score,Red Side,Date
"1615474455-69","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","FC Schalke 04","2021-02-06"
"1615474455-91","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","0 - 1","Rogue","2021-01-23"
"1615474455-97","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","FC Schalke 04","2021-01-22"
"1615474455-88","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","1 - 0","MAD Lions","2021-01-24"
"1615474455-28","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","SK Gaming","2021-03-06"
"1615474455-96","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","1 - 0","Fnatic","2021-01-22"
"1615474455-51","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","G2 Esports","2021-02-19"
"1615474455-53","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","Rogue","2021-02-19"
"1615474455-63","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","0 - 1","Fnatic","2021-02-12"
"1615474455-83","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Astralis","2021-01-29"
"1615474455-21","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","-","G2 Esports","2021-03-12"
"1615474455-14","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","-","Excel Esports","2021-03-14"
"1615474455-61","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Misfits Gaming","2021-02-12"
"1615474455-75","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","1 - 0","Rogue","2021-02-05"
"1615474455-24","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","-","Team Vitality","2021-03-12"
"1615474455-57","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Fnatic","2021-02-13"
"1615474455-36","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Fnatic","2021-02-27"
"1615474455-62","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","MAD Lions","2021-02-12"
"1615474455-31","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Rogue","2021-03-05"
"1615474455-59","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","0 - 1","MAD Lions","2021-02-13"
"1615474455-34","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","FC Schalke 04","2021-03-05"
"1615474455-78","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","1 - 0","Misfits Gaming","2021-01-30"
"1615474455-17","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","-","Fnatic","2021-03-13"
"1615474455-27","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","MAD Lions","2021-03-06"
"1615474455-48","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Astralis","2021-02-20"
