web-scraper-order,web-scraper-start-url,Blue Side,Score,Red Side,Date
"1615214749-172","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","TSM","1 - 0","Golden Guardians","2021-02-12"
"1615214749-137","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","TSM","1 - 0","CLG","2021-02-27"
"1615214749-178","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Cloud9","1 - 0","Immortals","2021-02-07"
"1615214749-168","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Golden Guardians","0 - 1","Dignitas","2021-02-13"
"1615214749-153","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","TSM","1 - 0","100 Thieves","2021-02-20"
"1615214749-165","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","100 Thieves","1 - 0","Team Liquid","2021-02-14"
"1615214749-106","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","CLG","-","Golden Guardians","2021-03-13"
"1615214749-185","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","FlyQuest","0 - 1","Evil Geniuses","2021-02-06"
"1615214749-135","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","FlyQuest","1 - 0","TSM","2021-02-28"
"1615214749-180","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","1 - 0","FlyQuest","2021-02-07"
"1615214749-184","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","1 - 0","Dignitas","2021-02-06"
"1615214749-170","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","FlyQuest","1 - 0","CLG","2021-02-13"
"1615214749-157","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","TSM","1 - 0","Evil Geniuses","2021-02-19"
"1615214749-101","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Immortals","-","Cloud9","2021-03-14"
"1615214749-117","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","0 - 1","CLG","2021-03-07"
"1615214749-104","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Golden Guardians","-","TSM","2021-03-14"
"1615214749-114","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Evil Geniuses","-","TSM","2021-03-12"
"1615214749-188","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Evil Geniuses","0 - 1","100 Thieves","2021-02-05"
"1615214749-111","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Golden Guardians","-","FlyQuest","2021-03-12"
"1615214749-155","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Cloud9","1 - 0","Dignitas","2021-02-20"
"1615214749-144","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","0 - 1","TSM","2021-02-26"
"1615214749-161","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","CLG","1 - 0","Golden Guardians","2021-02-14"
"1615214749-147","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","1 - 0","Cloud9","2021-02-21"
"1615214749-138","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Dignitas","0 - 1","100 Thieves","2021-02-27"
"1615214749-149","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Immortals","1 - 0","FlyQuest","2021-02-21"
"1615214749-151","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","FlyQuest","1 - 0","Golden Guardians","2021-02-20"
"1615214749-107","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Evil Geniuses","-","Team Liquid","2021-03-13"
"1615214749-132","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Evil Geniuses","1 - 0","Golden Guardians","2021-02-28"
"1615214749-141","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Immortals","0 - 1","Dignitas","2021-02-26"
"1615214749-140","https://gol.gg/tournament/tournament-matchlist/LCS%20Spring%202021/","Team Liquid","1 - 0","FlyQuest","2021-02-27"
