web-scraper-order,web-scraper-start-url,Team,Wins,Losses
"1615474432-7","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","FC Schalke 04","6","9"
"1615474432-5","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","SK Gaming","8","7"
"1615474432-9","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Team Vitality","4","11"
"1615474432-2","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Rogue","12","3"
"1615474432-1","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","G2 Esports","13","2"
"1615474432-6","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Misfits Gaming","6","9"
"1615474432-4","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Fnatic","9","6"
"1615474432-3","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","MAD Lions","9","6"
"1615474432-8","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Excel Esports","5","10"
"1615474432-10","https://gol.gg/tournament/tournament-ranking/LEC%20Spring%202021/","Astralis","3","12"
