web-scraper-order,web-scraper-start-url,Team,Wins,Losses
"1615212199-2","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","TSM","10","5"
"1615212199-1","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Cloud9","11","4"
"1615212199-6","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Evil Geniuses","8","7"
"1615212199-3","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Dignitas","10","5"
"1615212199-4","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Team Liquid","9","6"
"1615212199-9","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","CLG","4","11"
"1615212199-10","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Golden Guardians","2","13"
"1615212199-7","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","Immortals","7","8"
"1615212199-5","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","100 Thieves","9","6"
"1615212199-8","https://gol.gg/tournament/tournament-ranking/LCS%20Spring%202021/","FlyQuest","5","10"
